# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-a" "/home/mila6004/Genomeanalysis/results/5_annotation/braker3/braker.gtf" "-s" "2" "-o" "featurecounts2.txt" "/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Control_1Aligned.sortedByCoord.out.bam" "/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Heat_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Control_1Aligned.sortedByCoord.out.bam	/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Heat_1Aligned.sortedByCoord.out.bam
g347	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1104614;1105081;1105661;1106014	1104685;1105137;1105955;1106267	+;+;+;+	678	146	28
g348	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1106526;1107208;1107403;1107718;1107965;1108255;1108508;1108935;1109205;1109541;1109953	1107008;1107288;1107477;1107780;1108060;1108338;1108586;1109039;1109322;1109639;1110007	-;-;-;-;-;-;-;-;-;-;-	1338	268	60
g349	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1114279;1114279;1114578;1114578;1114869;1114869;1115207;1115207;1115604;1115604;1115844;1115844;1116201;1116201;1116463;1116463;1116847;1116847;1117168;1117168;1117646;1117646;1118047;1118047;1118263;1118263;1118889;1119923;1120120;1120472	1114321;1114321;1114657;1114657;1115039;1115039;1115308;1115308;1115678;1115678;1115990;1115990;1116329;1116329;1116549;1116549;1116986;1116986;1117302;1117302;1117816;1117816;1118109;1118109;1118314;1118348;1118936;1120027;1120341;1120518	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1851	265	189
g350	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1120585;1121430;1121764;1122238;1122529	1120930;1121504;1121906;1122375;1122732	+;+;+;+;+	906	64	54
g351	contig_13_pilon	1123107	1125398	-	2292	103	71
g352	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1128742;1131190;1131571;1131915	1130929;1131425;1131679;1132234	-;-;-;-	2853	312	3123
g353	contig_13_pilon	1133334	1133879	+	546	0	0
g354	contig_13_pilon	1141858	1142340	-	483	4	2
g355	contig_13_pilon;contig_13_pilon	1142536;1143203	1142911;1143357	-;-	531	2	3
g356	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1158646;1158646;1159162;1159162;1159563;1159563;1160056;1160286;1160456;1160635	1158951;1158951;1159229;1159229;1159653;1159761;1160165;1160369;1160544;1160888	-;-;-;-;-;-;-;-;-;-	1110	30	38
g357	contig_13_pilon;contig_13_pilon	1161106;1161611	1161547;1161615	-;-	447	1	1
g358	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1183995;1184355;1185268;1185810;1186324;1186459	1184184;1185134;1185363;1186153;1186401;1186566	-;-;-;-;-;-	1596	347	688
g359	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1223246;1225369;1225608;1225612;1226034;1226034;1226387;1226387;1226803;1226803;1227103;1227103;1227246;1227552;1227763;1227941	1223410;1225459;1225773;1225773;1226155;1226155;1226419;1226419;1226884;1226884;1227143;1227160;1227252;1227635;1227885;1228114	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1105	263	229
g360	contig_13_pilon;contig_13_pilon	1228135;1229217	1228174;1230175	+;+	999	61	27
g361	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1234297;1237734;1238133;1239868;1240181;1240339	1236525;1238004;1238209;1240074;1240295;1240418	-;-;-;-;-;-	2979	273	497
g362	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1240454;1240898;1241035;1241403;1241556;1241787;1242028;1242394;1243190;1243432;1244115	1240853;1240981;1241268;1241491;1241734;1241949;1242181;1242892;1243315;1243954;1244207	+;+;+;+;+;+;+;+;+;+;+	2544	367	998
g363	contig_13_pilon	1249253	1249468	-	216	0	0
g364	contig_13_pilon	1249499	1250554	-	1056	4	5
g365	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1267916;1268161;1268649;1268801;1268975;1269935;1270138;1270382;1270625;1270884;1271135;1271297;1274491;1279082;1279362	1268095;1268557;1268684;1268926;1269722;1270083;1270329;1270560;1270713;1271081;1271218;1271950;1274564;1279296;1279481	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3441	339	761
g366	contig_13_pilon;contig_13_pilon;contig_13_pilon	1279549;1280321;1280911	1279729;1280619;1281084	+;+;+	654	621	645
g367	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1285972;1286310;1286490;1286801;1287140;1288076;1288351;1288514;1288701;1288892;1289073;1289367	1286140;1286402;1286633;1287026;1287966;1288223;1288422;1288585;1288772;1288969;1289248;1289500	+;+;+;+;+;+;+;+;+;+;+;+	2211	30	32
g368	contig_13_pilon;contig_13_pilon;contig_13_pilon	1299365;1299756;1300290	1299611;1300138;1300628	-;-;-	969	3681	1983
g369	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1300642;1301392;1302734;1304186;1304387;1304688;1304916;1308916	1300646;1301530;1303637;1304213;1304488;1304710;1304986;1309062	-;-;-;-;-;-;-;-	1419	7528	641
g370	contig_13_pilon;contig_13_pilon;contig_13_pilon	1310884;1311175;1311454	1311071;1311204;1311472	+;+;+	237	62	29
g371	contig_13_pilon;contig_13_pilon;contig_13_pilon	1311530;1311906;1312401	1311817;1312288;1312635	+;+;+	906	10121	842
g372	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1316262;1316262;1316420;1316420;1317118;1317118;1317421;1317421;1317936;1317936;1318074;1318078;1318415;1318685;1318883;1318883;1320319;1320319;1320628;1320628;1321085;1321085;1321574;1321574;1321933;1321933;1322213;1322213;1322658;1322658;1323043;1323043;1323278;1323278;1323683;1323683;1323906;1323906;1324206;1324206;1324327;1324327;1329984;1329984	1316284;1316284;1316614;1316614;1317287;1317287;1317800;1317800;1318049;1318019;1318117;1318117;1318496;1318710;1319080;1319080;1320408;1320408;1320696;1320696;1321143;1321143;1321660;1321660;1322035;1322035;1322277;1322277;1322729;1322729;1323065;1323065;1323367;1323367;1323757;1323757;1323943;1323943;1324225;1324225;1324842;1324842;1330236;1330236	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2792	3880	5809
g373	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1330272;1330614;1331064;1331296;1331643	1330274;1330725;1331131;1331370;1331702	+;+;+;+;+	318	1714	2909
g374	contig_13_pilon;contig_13_pilon	1333222;1333740	1333631;1333932	+;+	603	1	33
g375	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1335159;1336669;1337068;1337353;1337644;1339813;1340234	1336410;1336742;1337204;1337583;1337752;1340073;1340284	-;-;-;-;-;-;-	2115	173	358
g376	contig_13_pilon	1337109	1337351	+	243	8	24
g377	contig_13_pilon	1340443	1340991	+	549	0	0
g378	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1345081;1345745;1346045;1348163;1348202;1348476;1348476;1349008;1349008;1349287;1349287;1350140;1350140;1350499;1350499	1345658;1345949;1346254;1348381;1348381;1348967;1348967;1349159;1349159;1350053;1350053;1350353;1350353;1350682;1350682	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3021	0	0
g379	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1354592;1354592;1354865;1354865;1355086;1355086;1355365;1355365;1355690;1355690;1355974;1355974;1356260;1356260;1356585;1356585;1356821;1356821;1357020;1357020;1358198;1358352;1358352	1354687;1354687;1354939;1354939;1355199;1355199;1355466;1355466;1355787;1355787;1356067;1356067;1356322;1356322;1356695;1356695;1356919;1356919;1357210;1357210;1358263;1358448;1358448	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1206	398	135
g380	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1358541;1359102;1359795;1360428;1360629;1360939;1361378;1361686	1358565;1359164;1359951;1360504;1360758;1361098;1361563;1361799	+;+;+;+;+;+;+;+	912	131	35
g381	contig_13_pilon	1370909	1372108	-	1200	631	271
g382	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1372148;1372475;1373260;1373517	1372154;1372762;1373284;1373649	-;-;-;-	453	27	5
g383	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1374430;1374712;1375037;1375649	1374446;1374841;1375243;1375822	-;-;-;-	528	40	13
g384	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1376597;1377204;1377662;1378176;1378733;1378996	1376813;1377457;1377763;1378292;1378878;1379161	+;+;+;+;+;+	1002	85	64
g385	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1380126;1380446;1380952;1381525;1382073;1382759;1383407;1384005;1384393;1385031;1385110;1386968;1388282;1388509;1389129	1380260;1380638;1381341;1381788;1382426;1383049;1383471;1384231;1384511;1385048;1385307;1387236;1388393;1388912;1389182	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3093	93	130
g386	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1391667;1392008;1392251;1392614;1393018;1393491;1393803;1394096;1394437;1395040;1395287	1391766;1392088;1392333;1392903;1393189;1393613;1393946;1394296;1394799;1395147;1395550	+;+;+;+;+;+;+;+;+;+;+	1929	453	555
g387	contig_13_pilon	1396977	1397303	-	327	33	4
g388	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1397026;1397476;1401490;1402154;1405277;1407747	1397177;1398096;1401855;1402774;1405358;1407755	+;+;+;+;+;+	1851	804	294
g389	contig_13_pilon	1401433	1401981	-	549	318	217
g390	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1407897;1408646;1409040;1409402;1409723;1410064;1410594	1408371;1408824;1409137;1409539;1409912;1410190;1411540	+;+;+;+;+;+;+	2154	492	350
g391	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1412100;1412883;1413080;1413496;1413824;1414144;1414893;1415284;1415587;1416006;1416269	1412252;1412975;1413283;1413554;1413900;1414434;1414984;1415357;1415782;1416139;1416407	-;-;-;-;-;-;-;-;-;-;-	1512	70	49
g392	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1421009;1421654;1422017;1422523;1423481;1423901;1424716;1425110;1425530;1426051;1426900;1427494	1421364;1421859;1422321;1423224;1423630;1424215;1424934;1425353;1425642;1426488;1427344;1427801	+;+;+;+;+;+;+;+;+;+;+;+	3801	1	5
g393	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1428803;1429065;1429502;1429865;1430115;1430345;1430681;1430933;1431298;1431562;1431811;1432144;1432497	1428886;1429152;1429677;1429969;1430213;1430494;1430773;1431133;1431389;1431690;1431916;1432235;1432674	-;-;-;-;-;-;-;-;-;-;-;-;-	1593	149	1210
g394	contig_13_pilon;contig_13_pilon;contig_13_pilon	1432699;1433223;1433582	1432742;1433494;1433757	-;-;-	492	26	192
g395	contig_13_pilon	1433538	1433759	+	222	8	47
g396	contig_13_pilon;contig_13_pilon	1434496;1439520	1434672;1439888	-;-	546	11	22
g397	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1440012;1440969;1441466;1441891;1442149;1442343;1442593;1442976;1443271;1443636;1443880;1444271;1445223;1445456	1440462;1441176;1441551;1441970;1442204;1442391;1442760;1443071;1443384;1443766;1444127;1445050;1445265;1445642	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2697	290	420
g398	contig_13_pilon	1448658	1448978	-	321	87	21
g399	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1450146;1450412;1450654;1450862;1451168;1451418;1451756;1452109;1452376;1452683;1453183;1453691;1453942;1454335;1455042;1456088;1456464;1456793;1457102	1450259;1450492;1450734;1450942;1451305;1451610;1451862;1452162;1452477;1452808;1453470;1453813;1454122;1454681;1455157;1456422;1456623;1457016;1457190	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2940	661	1015
g400	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1459965;1459965;1460972;1460972;1461621;1461621;1461939;1461939;1462289;1462289;1462615;1462621;1462956;1462956;1463252;1463252;1465094;1465094	1460771;1460771;1461293;1461293;1461746;1461746;1462148;1462148;1462403;1462403;1462738;1462738;1463060;1463060;1463408;1463408;1465482;1465482	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2355	262	403
g401	contig_13_pilon;contig_13_pilon	1471327;1471636	1471408;1471982	-;-	429	0	0
g402	contig_13_pilon	1474682	1475140	-	459	0	0
g403	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1477243;1478327;1480325;1484026;1484255;1486375	1478151;1478638;1481551;1484127;1485509;1486523	+;+;+;+;+;+	3954	0	0
g404	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1492247;1492448;1493077;1493521;1493796;1494787;1494972	1492305;1492793;1493234;1493563;1493996;1494826;1495144	-;-;-;-;-;-;-	1020	0	0
g405	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1495566;1495704;1496481;1497043;1497524;1497787	1495603;1496240;1496561;1497109;1497593;1498244	+;+;+;+;+;+	1251	0	0
g406	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1499685;1500876;1508762;1509256;1509618;1510707;1510897;1511264	1500668;1500968;1509093;1509313;1510539;1510750;1511021;1511327	+;+;+;+;+;+;+;+	2622	360	273
g407	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1522047;1522283;1522334;1522459;1522822;1522822;1524075;1524274;1524703	1522133;1522332;1522540;1522540;1523970;1523957;1524143;1524429;1524772	-;-;-;-;-;-;-;-;-	1788	252	639
g408	contig_13_pilon;contig_13_pilon;contig_13_pilon	1524920;1525134;1526324	1525050;1525185;1526344	+;+;+	204	5	31
g409	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1526586;1526918;1527317;1527763;1528215;1528554;1528841;1529254;1529525;1530023;1530363	1526738;1527100;1527460;1527823;1528294;1528685;1529023;1529293;1529706;1530106;1530386	+;+;+;+;+;+;+;+;+;+;+	1266	184	498
g410	contig_13_pilon;contig_13_pilon	1538248;1538715	1538317;1538893	+;+	249	2	2
g411	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1538970;1539499;1539803;1540185;1540439;1540644;1540790;1541024;1541253;1541527;1542092;1542439;1542768	1539182;1539544;1539878;1540244;1540489;1540698;1540860;1541075;1541330;1541616;1542205;1542507;1542824	+;+;+;+;+;+;+;+;+;+;+;+;+	1032	626	610
g412	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1546506;1546506;1546787;1546787;1547287;1547287;1548246;1548246;1549708;1549708;1550095;1557305;1557951	1546691;1546691;1546885;1546885;1547353;1547353;1548350;1548350;1549871;1549889;1550165;1557820;1558041	+;+;+;+;+;+;+;+;+;+;+;+;+	1317	0	0
g413	contig_13_pilon;contig_13_pilon	1558819;1559089	1558937;1559227	+;+	258	0	0
g414	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1572349;1580498;1580883;1581140;1581574;1581858;1582495;1582700;1582970;1583164;1583580;1583937;1584309;1584861;1585249	1572432;1580656;1580954;1581340;1581681;1582027;1582570;1582919;1583021;1583246;1583647;1584074;1584502;1584896;1585303	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1716	228	194
g415	contig_13_pilon;contig_13_pilon;contig_13_pilon	1585440;1585616;1586008	1585443;1585810;1586066	-;-;-	258	6	21
g416	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1586203;1586203;1587305;1587305;1587762;1587762;1587990;1587990;1588178;1588323;1588478;1588577;1589035;1589577	1587192;1587192;1587420;1587420;1587852;1587852;1588088;1588076;1588182;1588363;1588513;1588580;1589116;1589663	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1551	63	139
g417	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1589758;1591674;1593265;1593430;1594112;1594465;1594880;1595275;1595962;1596360;1596935;1597227;1597488;1597953;1598768	1591341;1591861;1593300;1593939;1594355;1594626;1595005;1595491;1596022;1596519;1597060;1597383;1597582;1598009;1599040	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3996	213	380
g418	contig_13_pilon;contig_13_pilon;contig_13_pilon	1599414;1599748;1600218	1599641;1600158;1600313	-;-;-	735	27	20
g419	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1617633;1618151;1618874;1619159;1620958;1621547;1621718;1621907;1623084;1623258	1618104;1618183;1618950;1620719;1621001;1621553;1621782;1622102;1623195;1623546	+;+;+;+;+;+;+;+;+;+	2856	2339	2446
g420	contig_13_pilon;contig_13_pilon	1639836;1640515	1640350;1640671	-;-	672	0	0
g421	contig_13_pilon	1642589	1643227	+	639	0	0
g422	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1643267;1643618;1644241;1645853;1646601;1647098;1647536;1657851;1661148;1661367;1661552;1662007;1662473;1663242;1663535	1643508;1643999;1644411;1646551;1646990;1647277;1647654;1658007;1661293;1661508;1661726;1662284;1663116;1663375;1664133	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4458	22	51
g423	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1664765;1665072;1665451;1665674;1665942;1666250;1666457;1666644;1667373;1667505;1667664;1667889;1668192;1668442;1668747;1669325;1669597;1669927;1670160;1670596;1670915;1671170;1671510;1677679;1678136	1664842;1665158;1665522;1665766;1666058;1666366;1666544;1666699;1667449;1667517;1667754;1668001;1668275;1668567;1668863;1669478;1669780;1670002;1670249;1670742;1671016;1671397;1671674;1678026;1678258	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2946	15	4
g424	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1678305;1679115;1679565;1680014;1682005	1678835;1679322;1679632;1680242;1682351	+;+;+;+;+	1383	70	26
g425	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1682371;1682771;1683602;1684464;1684970;1685604;1685981;1686233;1686456	1682481;1683430;1683865;1684751;1685461;1685885;1686181;1686345;1686684	+;+;+;+;+;+;+;+;+	2640	299	1203
g426	contig_13_pilon;contig_13_pilon	1693917;1694236	1694145;1694348	-;-	342	0	1
g427	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1694368;1694715;1695139;1695367;1695848;1696734;1697169;1697339;1698116	1694619;1694996;1695268;1695629;1696135;1696997;1697298;1697826;1698292	-;-;-;-;-;-;-;-;-	2274	5	17
g428	contig_13_pilon;contig_13_pilon	1698308;1703755	1698682;1703757	-;-	378	0	0
g429	contig_13_pilon;contig_13_pilon;contig_13_pilon	1722273;1722506;1722696	1722329;1722578;1723840	+;+;+	1275	0	0
g430	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1728853;1730471;1731121;1731744;1732200;1734086;1734333;1734625;1734984;1735474;1736715;1737910	1729124;1730885;1731540;1731906;1732735;1734245;1734534;1734895;1735331;1735530;1736852;1738080	-;-;-;-;-;-;-;-;-;-;-;-	3153	22	72
g431	contig_13_pilon	1738799	1739299	-	501	0	0
g432	contig_13_pilon	1739409	1739651	+	243	0	0
g433	contig_13_pilon	1739700	1740899	+	1200	0	1
g434	contig_13_pilon;contig_13_pilon;contig_13_pilon;contig_13_pilon	1745383;1749920;1750464;1751781	1746118;1750282;1751329;1752293	+;+;+;+	2478	0	0
g435	contig_13_pilon;contig_13_pilon	1752890;1753404	1753278;1753782	+;+	768	0	0
g436	contig_13_pilon;contig_13_pilon;contig_13_pilon	1755008;1755865;1756686	1755482;1756247;1757216	-;-;-	1389	0	0
g437	contig_13_pilon	1757756	1758313	+	558	0	0
g438	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	40697;40983;41238;41774;42446;44397;44666;45148;45574;45731;46220;46681;46836	40771;41106;41320;41988;42532;44482;44834;45264;45638;45861;46332;46780;47129	+;+;+;+;+;+;+;+;+;+;+;+;+	1659	1151	1263
